sec6-res-util-lego-c6m2,,2078,,lego,,6,,584,,633,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2081,,lego,,6,,585,,633,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2083,,lego,,6,,584,,681,,106,,1.0,,Cannot locate exact four board corners, probably because of occlusion
sec6-res-util-lego-c6m2,,2087,,lego,,6,,584,,675,,100,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2091,,lego,,6,,583,,667,,92,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2095,,lego,,6,,589,,692,,118,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2099,,lego,,6,,584,,681,,107,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2103,,lego,,6,,584,,685,,110,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2107,,lego,,6,,585,,668,,94,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2111,,lego,,6,,584,,685,,110,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2115,,lego,,6,,583,,680,,105,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2119,,lego,,6,,584,,668,,93,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2122,,lego,,6,,585,,683,,132,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2127,,lego,,6,,584,,672,,98,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2131,,lego,,6,,584,,659,,84,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2134,,lego,,6,,586,,687,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2139,,lego,,6,,583,,680,,105,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2143,,lego,,6,,584,,680,,176,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2149,,lego,,6,,584,,687,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2153,,lego,,6,,585,,683,,111,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2157,,lego,,6,,584,,681,,107,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2161,,lego,,6,,583,,681,,106,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2165,,lego,,6,,590,,678,,103,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2169,,lego,,6,,584,,686,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2173,,lego,,6,,585,,687,,185,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2179,,lego,,6,,584,,681,,106,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2183,,lego,,6,,589,,689,,114,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2188,,lego,,6,,585,,685,,111,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2192,,lego,,6,,585,,680,,105,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2196,,lego,,6,,587,,679,,104,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2200,,lego,,6,,585,,657,,117,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,2204,,lego,,6,,584,,618,,43,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2206,,lego,,6,,584,,632,,57,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2209,,lego,,6,,583,,632,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2211,,lego,,6,,585,,639,,64,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2214,,lego,,6,,584,,618,,44,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2216,,lego,,6,,583,,636,,61,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
